Oberdino Di-55,71.92,51.18,18.3,3.82,66.2,56
Liberante Totaro-66,27.98,56
Elba Marino-18,13.24,90.77,54.34,93.5,94.16,3.62,16.47,23.39,58.48,4.56,54
Gervaso Lazar-4,70.9,92.18,47.34,50.70,83.29,76.80,57.79,41.39,51.36,3.89,8.7,4.85,74.59,49.93,57.31,4.35,64.65,7.62,95.23,96
Biondino Castro-58,96.51,79.5,25.51,75.91,67.67,70.90,17.93,12.19,80.1,19.16,19.8,88.87,37.84,18.66,91
Duilia De-23,12.86,85.51,25.47,44.89,12.98,35.58,25.64,19.13,85.100,28.56,9.34,12.6,10.2,19.28,71.27,62.5,75.62,69.27,29.9,66.25,73.87,5.59,43.34,16.62,71
Nicla Pal-85,37.37,19.65,31.49,72.90,73.17,67.56,28.70,56.78,86.4,19.0,46
Teresita Clementucci-4,91.37,72.1,57.85,33.80,73.54,62.82,29.42,70.32,63.79,96.100,6.78,77.15,47
Idola Perrone-71,90.74,2.35,83.100,69.41,44.23,89.56,21.85,3.81,42.61,1.92,84.46,34.62,99.45,60.11,18.9,16.54,68
Averardo Donatini-28,60.95,69.44,57.42,70.61,54.58,18.8,25.68,84.14,10.85,96.75,38.53,13.31,33.6,92.13,69.29,39.64,84.97,26.53,68.5,80.69,59.44,92.49,18.21,89.16,47
Mainetto Corrado-70,53.11,87.68,95.8,92.53,84.56,93.26,18.78,20.7,81.7,89.14,7.28,76.55,89
